[2026-04-18T01:03:31Z] === ENRICH ITERATION 10 START | repo=jestjs/jest sha=67c1aa20 ===
[2026-04-18T01:03:31Z] [iter=10] PHASE START: enrich repo=jestjs/jest sha=67c1aa20 runlog=/home/runner/work/forx/forx/storage/aggregate/lsp/logs/67c1aa20-enrich-iter-010.log output=/home/runner/work/forx/forx/storage/aggregate/lsp/67c1aa20c5fec31366d733e901fee2b981cb1850.nq.gz
[2026-04-18T01:04:40Z] [iter=10] Step 1: Loading AST into disk-backed store mem_mb=84 MB
[2026-04-18T01:06:18Z] [iter=10] AST store loaded triples=9309439 load_secs=95 mem_mb=1085 MB
[2026-04-18T01:06:18Z] [iter=10] Step 2: Finding LSP targets mem_mb=1085 MB
[2026-04-18T01:06:28Z] [iter=10] LSP targets found call_sites=81315 imports=2227 extends=133 implements=9 secs=10
[2026-04-18T01:06:41Z] [iter=10] Loaded checkpoint partial graph triples=277580
[2026-04-18T01:06:47Z] [iter=10] Step 2.7: Building position index (one-shot, shared across resolvers) mem_mb=1094 MB
[2026-04-18T01:07:37Z] [iter=10] Position index built positions=604380 nodes_with_types=724270 secs=50 mem_mb=2151 MB
[2026-04-18T01:07:37Z] [iter=10] Step 3: Starting LSP resolution mem_mb=2151 MB already_completed_types=[] already_completed_files=753
[2026-04-18T01:07:37Z] [iter=10] Resolving target type target_type=call_site count=81315
[2026-04-18T01:07:38Z] [iter=10] HEARTBEAT target_type=call_site elapsed_min=4.1 files_done=0 resolved=0 errors=0 current=packages/jest-runtime/src/index.ts
[2026-04-18T01:27:05Z] [iter=10] HEARTBEAT target_type=call_site elapsed_min=23.6 files_done=1 resolved=1 errors=377 current=e2e/__tests__/config.test.ts
[2026-04-18T01:28:42Z] [iter=10] HEARTBEAT target_type=call_site elapsed_min=25.2 files_done=3 resolved=5 errors=408 current=e2e/__tests__/testEnvironmentAsync.test.ts
[2026-04-18T01:30:09Z] [iter=10] HEARTBEAT target_type=call_site elapsed_min=26.6 files_done=5 resolved=6 errors=436 current=e2e/__tests__/globals.test.ts
[2026-04-18T01:32:16Z] [iter=10] HEARTBEAT target_type=call_site elapsed_min=28.8 files_done=6 resolved=6 errors=477 current=packages/jest-config/src/normalize.ts
[2026-04-18T01:41:23Z] [iter=10] HEARTBEAT target_type=call_site elapsed_min=37.9 files_done=7 resolved=7 errors=653 current=packages/pretty-format/src/__tests__/setPrettyPrint.ts
[2026-04-18T01:43:00Z] [iter=10] HEARTBEAT target_type=call_site elapsed_min=39.5 files_done=9 resolved=7 errors=684 current=packages/jest-haste-map/src/crawlers/node.ts
[2026-04-18T01:46:04Z] [iter=10] HEARTBEAT target_type=call_site elapsed_min=42.5 files_done=10 resolved=7 errors=743 current=packages/jest-runtime/src/__tests__/runtime_require_resolve.test.ts
[2026-04-18T01:47:26Z] [iter=10] HEARTBEAT target_type=call_site elapsed_min=43.9 files_done=11 resolved=8 errors=769 current=packages/jest-circus/src/state.ts
[2026-04-18T01:48:20Z] [iter=10] HEARTBEAT target_type=call_site elapsed_min=44.8 files_done=13 resolved=8 errors=786 current=e2e/__tests__/findRelatedFiles.test.ts
[2026-04-18T01:50:00Z] [iter=10] HEARTBEAT target_type=call_site elapsed_min=46.5 files_done=14 resolved=13 errors=818 current=e2e/Utils.ts
[2026-04-18T01:54:23Z] [iter=10] HEARTBEAT target_type=call_site elapsed_min=50.9 files_done=15 resolved=20 errors=903 current=packages/jest-config/src/color.ts
[2026-04-18T01:56:25Z] [iter=10] HEARTBEAT target_type=call_site elapsed_min=52.9 files_done=17 resolved=22 errors=942 current=packages/jest-diff/src/cleanupSemantic.ts
[2026-04-18T02:00:20Z] [iter=10] HEARTBEAT target_type=call_site elapsed_min=56.8 files_done=18 resolved=22 errors=1018 current=e2e/__tests__/wrongEnv.test.ts
[2026-04-18T02:01:14Z] [iter=10] HEARTBEAT target_type=call_site elapsed_min=57.7 files_done=20 resolved=23 errors=1035 current=e2e/__tests__/failureDetailsProperty.test.ts
[2026-04-18T02:02:07Z] [iter=10] HEARTBEAT target_type=call_site elapsed_min=58.6 files_done=22 resolved=26 errors=1052 current=packages/jest-core/src/TestScheduler.ts
[2026-04-18T02:05:47Z] [iter=10] HEARTBEAT target_type=call_site elapsed_min=62.3 files_done=23 resolved=26 errors=1123 current=packages/jest-console/src/BufferedConsole.ts
[2026-04-18T02:08:03Z] [iter=10] HEARTBEAT target_type=call_site elapsed_min=64.5 files_done=24 resolved=26 errors=1167 current=e2e/__tests__/toMatchInlineSnapshot.test.ts
[2026-04-18T02:12:27Z] [iter=10] HEARTBEAT target_type=call_site elapsed_min=68.9 files_done=25 resolved=26 errors=1252 current=packages/jest-core/src/lib/__tests__/isValidPath.test.ts
[2026-04-18T02:13:46Z] [iter=10] HEARTBEAT target_type=call_site elapsed_min=70.2 files_done=26 resolved=26 errors=1277 current=e2e/__tests__/coverageProviderV8.test.ts
[2026-04-18T02:14:29Z] [iter=10] HEARTBEAT target_type=call_site elapsed_min=71.0 files_done=27 resolved=26 errors=1291 current=e2e/__tests__/circusDeclarationErrors.test.ts
